response_id	grna_group
p14.dialup	sgRNA_21991610.21991964_21991847_gene
CDKN2B	sgRNA_21993497.21993792_21993586_gene
p16.dialup	sgRNA_21993497.21993792_21993586_gene
p14.dialup	sgRNA_21993497.21993792_21993586_gene
CDKN2B	sgRNA_21993497.21993792_21993605_gene
p16.dialup	sgRNA_21993497.21993792_21993605_gene
p14.dialup	sgRNA_21993497.21993792_21993605_gene
CDKN2B	sgRNA_21993497.21993792_21993648_gene
p16.dialup	sgRNA_21993497.21993792_21993648_gene
p14.dialup	sgRNA_21993497.21993792_21993648_gene
CDKN2B	sgRNA_21993497.21993792_21993759_gene
p16.dialup	sgRNA_21993497.21993792_21993759_gene
p14.dialup	sgRNA_21993497.21993792_21993759_gene
CDKN2B	sgRNA_21993910.21994234_21993930_gene
p16.dialup	sgRNA_21993910.21994234_21993930_gene
p14.dialup	sgRNA_21993910.21994234_21993930_gene
CDKN2B	sgRNA_21993910.21994234_21994006_gene
p16.dialup	sgRNA_21993910.21994234_21994006_gene
